"sample","Axis1","Axis2","group","method"
"J_XYL_F_0001_01",-0.328648305277667,0.00775014888627556,"IBS_before","PCoA"
"J_XYL_F_0001_02",-0.211787390769011,0.230420678400752,"IBS_after","PCoA"
"J_XYL_F_0002_01",0.0981848483903546,-0.0427770622904059,"IBS_before","PCoA"
"J_XYL_F_0002_02",0.175774856858272,0.0432797602793544,"IBS_after","PCoA"
"J_XYL_F_0003_01",0.069863423159062,-0.0976080491540215,"IBS_before","PCoA"
"J_XYL_F_0003_02",0.0517286760794149,-0.255069447045245,"IBS_after","PCoA"
"J_XYL_F_0004_01",0.18536949077046,0.044610106730716,"IBS_before","PCoA"
"J_XYL_F_0004_02",0.162282648169845,0.0522092484160556,"IBS_after","PCoA"
"J_XYL_F_0005_01",0.0820830975977612,-0.134011463491164,"IBS_before","PCoA"
"J_XYL_F_0005_02",-0.0469033610515883,0.0290563779936972,"IBS_after","PCoA"
"J_XYL_F_0006_01",0.118946676041303,0.0609152106120969,"IBS_before","PCoA"
"J_XYL_F_0006_02",-0.0855408083625988,-0.217827579231127,"IBS_after","PCoA"
"J_XYL_F_0010_01",0.040044474728786,0.13377992017463,"IBS_before","PCoA"
"J_XYL_F_0010_02",0.230298894988352,0.139239174719697,"IBS_after","PCoA"
"J_XYL_F_0012_01",-0.0550409384136705,-0.342722577457499,"IBS_before","PCoA"
"J_XYL_F_0012_02",-0.0152897357813461,-0.458532275979191,"IBS_after","PCoA"
"J_XYL_F_0013_01",0.124176662759506,0.0418045582809615,"IBS_before","PCoA"
"J_XYL_F_0013_02",0.174831425372134,0.19905399055482,"IBS_after","PCoA"
"J_XYL_F_0015_01",-0.17446409088012,-0.0680340147986239,"IBS_before","PCoA"
"J_XYL_F_0015_02",-0.0599491628126447,-0.272733632222264,"IBS_after","PCoA"
"J_XYL_F_0016_01",-0.192162493712606,-0.0716935117567623,"IBS_before","PCoA"
"J_XYL_F_0016_02",-0.0657991700470507,-0.0985773916212522,"IBS_after","PCoA"
