"disease","n_pairs","mean_before","mean_after","median_delta","wilcox_p"
"IBS",35,0.671649453846737,0.65332172062096,-0.0146722374803262,0.363327726597275
"UC",29,0.656027595350324,0.613679425694246,-0.0356158522655448,0.0916784272732711
