"disease","n_pairs","mean_before","mean_after","median_delta","wilcox_p"
"IBS",35,1.66396961818673,1.58910908635318,-0.0785785774018579,0.176605981801472
"UC",29,1.61600496810033,1.46751588190569,-0.120688863222478,0.0231811348686445
