"group","mean","sd","median"
"IBS_after",22.1944444444444,7.21038712828115,23
"IBS_before",21.3888888888889,7.55655922371997,21
"UC_after",20.4827586206897,6.87968380531284,21
"UC_before",20.9655172413793,7.02283397527914,20
