feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
0610005C13Rik,Group,0.2201,0.489,1.687,0.7544,DESeq2,DMSO vs T4400
0610007P14Rik,Group,0.9586,0.9808,0.9973,-0.004,DESeq2,DMSO vs T4400
0610009B22Rik,Group,0.4226,0.6855,1.0416,0.0588,DESeq2,DMSO vs T4400
0610009L18Rik,Group,0.1539,0.3954,1.3403,0.4225,DESeq2,DMSO vs T4400
0610009O20Rik,Group,0.1232,0.3457,0.9276,-0.1085,DESeq2,DMSO vs T4400
0610010F05Rik,Group,0.2426,0.5177,1.1307,0.1772,DESeq2,DMSO vs T4400
0610010K14Rik,Group,0.2704,0.5483,0.9447,-0.0821,DESeq2,DMSO vs T4400
0610011F06Rik,Group,0.109,0.3218,0.8954,-0.1595,DESeq2,DMSO vs T4400
0610012G03Rik,Group,0.6774,0.8543,1.0288,0.0409,DESeq2,DMSO vs T4400
0610030E20Rik,Group,0.9701,0.9852,1.0025,0.0035,DESeq2,DMSO vs T4400
0610037L13Rik,Group,0.1142,0.331,0.9095,-0.1369,DESeq2,DMSO vs T4400
0610038B21Rik,Group,0.6074,0.8149,1.1786,0.2371,DESeq2,DMSO vs T4400
0610039K10Rik,Group,0.3651,0.636,0.3705,-1.4326,DESeq2,DMSO vs T4400
0610040B10Rik,Group,0.9755,0.9881,0.9912,-0.0127,DESeq2,DMSO vs T4400
0610040F04Rik,Group,0.4318,0.6913,0.3275,-1.6104,DESeq2,DMSO vs T4400
0610040J01Rik,Group,0.1716,0.4226,4.9407,2.3047,DESeq2,DMSO vs T4400
0610043K17Rik,Group,0.2207,0.4899,2.4212,1.2757,DESeq2,DMSO vs T4400
1010001N08Rik,Group,0.2824,0.5604,0.3536,-1.4998,DESeq2,DMSO vs T4400
1110001J03Rik,Group,0.0401,0.1745,0.8169,-0.2918,DESeq2,DMSO vs T4400
1110002L01Rik,Group,0.7203,0.8758,0.9549,-0.0665,DESeq2,DMSO vs T4400
1110004E09Rik,Group,0.546,0.7722,1.0565,0.0793,DESeq2,DMSO vs T4400
1110004F10Rik,Group,0.0632,0.2318,0.8875,-0.1721,DESeq2,DMSO vs T4400
1110006O24Rik,Group,0.8705,0.9507,1.0587,0.0823,DESeq2,DMSO vs T4400
1110007C09Rik,Group,0.0249,0.1284,1.1809,0.2398,DESeq2,DMSO vs T4400
1110008F13Rik,Group,0.746,0.8899,1.0253,0.036,DESeq2,DMSO vs T4400
1110008L16Rik,Group,0.55,0.7749,1.0287,0.0408,DESeq2,DMSO vs T4400
1110008P14Rik,Group,0.3859,0.6551,1.064,0.0895,DESeq2,DMSO vs T4400
1110012L19Rik,Group,0.5343,0.7637,1.0609,0.0852,DESeq2,DMSO vs T4400
1110017D15Rik,Group,0.3327,0.6094,1.694,0.7604,DESeq2,DMSO vs T4400
1110019D14Rik,Group,0.6936,0.8608,1.0611,0.0855,DESeq2,DMSO vs T4400
1110020A21Rik,Group,0.5643,0.7851,1.2098,0.2748,DESeq2,DMSO vs T4400
1110032A03Rik,Group,0.7033,0.8665,0.9719,-0.0411,DESeq2,DMSO vs T4400
1110034G24Rik,Group,0.0481,0.1961,1.2015,0.2648,DESeq2,DMSO vs T4400
1110037F02Rik,Group,0.7464,0.8901,1.0185,0.0264,DESeq2,DMSO vs T4400
1110038B12Rik,Group,0.0284,0.1399,1.1905,0.2516,DESeq2,DMSO vs T4400
1110038F14Rik,Group,0.4329,0.6922,0.9621,-0.0557,DESeq2,DMSO vs T4400
1110046J04Rik,Group,0.6691,0.8498,0.9605,-0.0582,DESeq2,DMSO vs T4400
1110051M20Rik,Group,0.348,0.624,0.9568,-0.0637,DESeq2,DMSO vs T4400
1110059E24Rik,Group,0.1251,0.3492,0.9072,-0.1405,DESeq2,DMSO vs T4400
1110059G10Rik,Group,0.2317,0.5035,1.1039,0.1426,DESeq2,DMSO vs T4400
1110065P20Rik,Group,0.0723,0.2511,0.8561,-0.2242,DESeq2,DMSO vs T4400
1190002F15Rik,Group,0.0006,0.0125,0.6019,-0.7324,DESeq2,DMSO vs T4400
1190002N15Rik,Group,0.9045,0.9623,0.988,-0.0174,DESeq2,DMSO vs T4400
1190005I06Rik,Group,0.4406,0.6975,0.6563,-0.6075,DESeq2,DMSO vs T4400
1190007I07Rik,Group,0.826,0.9353,1.0302,0.043,DESeq2,DMSO vs T4400
1200014J11Rik,Group,0.8567,0.9473,0.9909,-0.0132,DESeq2,DMSO vs T4400
1300002E11Rik,Group,0.0018,0.0244,1.3322,0.4138,DESeq2,DMSO vs T4400
1300017J02Rik,Group,0.7102,0.8711,1.3033,0.3821,DESeq2,DMSO vs T4400
1500004A13Rik,Group,0.7609,0.8977,1.039,0.0552,DESeq2,DMSO vs T4400
1500009C09Rik,Group,0.6591,0.8458,1.7135,0.7769,DESeq2,DMSO vs T4400
1500009L16Rik,Group,0.0859,0.2784,0.6513,-0.6186,DESeq2,DMSO vs T4400
1500011B03Rik,Group,0.1341,0.3643,1.2132,0.2788,DESeq2,DMSO vs T4400
1500011K16Rik,Group,0.9758,0.9881,0.9972,-0.0041,DESeq2,DMSO vs T4400
1500012F01Rik,Group,0.1763,0.4302,1.126,0.1712,DESeq2,DMSO vs T4400
1500012K07Rik,Group,0.2521,0.5284,2.5663,1.3597,DESeq2,DMSO vs T4400
1500015A07Rik,Group,0.5455,0.7718,1.2068,0.2712,DESeq2,DMSO vs T4400
1500015O10Rik,Group,0.0063,0.0527,0.3932,-1.3465,DESeq2,DMSO vs T4400
1500017E21Rik,Group,0.0602,0.2244,1.3492,0.4321,DESeq2,DMSO vs T4400
1500026H17Rik,Group,0.8132,0.9293,1.2621,0.3359,DESeq2,DMSO vs T4400
1600002D24Rik,Group,0.6823,0.8552,0.4926,-1.0216,DESeq2,DMSO vs T4400
1600002H07Rik,Group,0.3656,0.6365,0.9363,-0.0949,DESeq2,DMSO vs T4400
1600002K03Rik,Group,0.3371,0.6134,1.0921,0.1271,DESeq2,DMSO vs T4400
1600012H06Rik,Group,0.1521,0.3923,1.0683,0.0953,DESeq2,DMSO vs T4400
1600014C10Rik,Group,0.2156,0.483,1.1042,0.143,DESeq2,DMSO vs T4400
1600014C23Rik,Group,0.2849,0.5629,2.5331,1.3409,DESeq2,DMSO vs T4400
1600020E01Rik,Group,0.8314,0.938,1.0251,0.0358,DESeq2,DMSO vs T4400
1600023N17Rik,Group,0.5863,0.8018,0.6762,-0.5645,DESeq2,DMSO vs T4400
1600025M17Rik,Group,0.9314,0.9722,0.8608,-0.2162,DESeq2,DMSO vs T4400
1600027J07Rik,Group,0.001,0.0165,0.1961,-2.3504,DESeq2,DMSO vs T4400
1700001C19Rik,Group,0.811,0.9282,0.8133,-0.2981,DESeq2,DMSO vs T4400
1700001G11Rik,Group,0.5636,0.7845,1.3352,0.417,DESeq2,DMSO vs T4400
1700001G17Rik,Group,0.8184,0.9313,1.1053,0.1445,DESeq2,DMSO vs T4400
1700001K19Rik,Group,0.2973,0.5755,0.5884,-0.7651,DESeq2,DMSO vs T4400
1700001K23Rik,Group,0.4624,0.7145,1.7246,0.7863,DESeq2,DMSO vs T4400
1700001L05Rik,Group,0,0.0022,1.8867,0.9158,DESeq2,DMSO vs T4400
1700001L19Rik,Group,0.2406,0.515,0.5905,-0.7601,DESeq2,DMSO vs T4400
1700001O22Rik,Group,0.2584,0.5356,1.4262,0.5122,DESeq2,DMSO vs T4400
1700001P01Rik,Group,0.6945,0.861,1.3749,0.4594,DESeq2,DMSO vs T4400
1700003E16Rik,Group,0.4369,0.6949,1.0956,0.1317,DESeq2,DMSO vs T4400
1700003F12Rik,Group,0.0262,0.133,1.5381,0.6212,DESeq2,DMSO vs T4400
1700003G18Rik,Group,0.9278,0.971,0.9029,-0.1474,DESeq2,DMSO vs T4400
1700003M02Rik,Group,0.664,0.8478,0.7965,-0.3282,DESeq2,DMSO vs T4400
1700006H21Rik,Group,0.7278,0.879,0.6085,-0.7167,DESeq2,DMSO vs T4400
1700007G11Rik,Group,0.4845,0.7318,1.378,0.4626,DESeq2,DMSO vs T4400
1700007J10Rik,Group,0.6463,0.8406,0.8819,-0.1813,DESeq2,DMSO vs T4400
1700007K09Rik,Group,0.6195,0.8216,0.5594,-0.838,DESeq2,DMSO vs T4400
1700007K13Rik,Group,0.5665,0.7867,1.1874,0.2478,DESeq2,DMSO vs T4400
1700007L15Rik,Group,0.3056,0.5846,0.8473,-0.239,DESeq2,DMSO vs T4400
1700008J07Rik,Group,0.6455,0.8401,0.889,-0.1697,DESeq2,DMSO vs T4400
1700008O03Rik,Group,0.8957,0.959,1.1535,0.206,DESeq2,DMSO vs T4400
1700009N14Rik,Group,0.6677,0.8491,1.2347,0.3042,DESeq2,DMSO vs T4400
1700011A15Rik,Group,0.3562,0.6305,4.5891,2.1982,DESeq2,DMSO vs T4400
1700011E24Rik,Group,0.5869,0.8022,0.4709,-1.0866,DESeq2,DMSO vs T4400
1700011I03Rik,Group,0.9619,0.9816,0.9764,-0.0344,DESeq2,DMSO vs T4400
1700011L22Rik,Group,0.5595,0.7813,0.3728,-1.4234,DESeq2,DMSO vs T4400
1700012B07Rik,Group,0.5745,0.7928,1.7401,0.7992,DESeq2,DMSO vs T4400
1700012B09Rik,Group,0.2402,0.5144,1.2665,0.3408,DESeq2,DMSO vs T4400
1700012D01Rik,Group,0.4074,0.6741,1.2041,0.268,DESeq2,DMSO vs T4400
1700012D14Rik,Group,0.4447,0.7014,1.4243,0.5102,DESeq2,DMSO vs T4400
1700012H19Rik,Group,0.7239,0.8768,0.7236,-0.4668,DESeq2,DMSO vs T4400
1700013F07Rik,Group,0.7471,0.8905,1.216,0.2822,DESeq2,DMSO vs T4400
1700013G24Rik,Group,0.0452,0.1883,0.4493,-1.1542,DESeq2,DMSO vs T4400
1700013H16Rik,Group,0.4913,0.7357,1.9504,0.9638,DESeq2,DMSO vs T4400
1700015E13Rik,Group,0.8606,0.9477,1.2838,0.3604,DESeq2,DMSO vs T4400
1700015F17Rik,Group,0.6885,0.8586,0.6293,-0.6682,DESeq2,DMSO vs T4400
1700016C15Rik,Group,0.8586,0.9473,1.3867,0.4716,DESeq2,DMSO vs T4400
1700016D06Rik,Group,0.1604,0.4054,3.8946,1.9615,DESeq2,DMSO vs T4400
1700017B05Rik,Group,0.2364,0.5093,1.0687,0.0958,DESeq2,DMSO vs T4400
1700018A04Rik,Group,0.4526,0.7075,1.2742,0.3496,DESeq2,DMSO vs T4400
1700018B08Rik,Group,0.1338,0.3638,0.1116,-3.163,DESeq2,DMSO vs T4400
1700018C11Rik,Group,0.4607,0.7141,2.7819,1.4761,DESeq2,DMSO vs T4400
1700018L02Rik,Group,0.5968,0.8091,0.6752,-0.5667,DESeq2,DMSO vs T4400
1700019A02Rik,Group,0.848,0.9467,1.3892,0.4743,DESeq2,DMSO vs T4400
1700019B03Rik,Group,0.5293,0.7609,2.0758,1.0536,DESeq2,DMSO vs T4400
1700019D03Rik,Group,0.3459,0.622,3.466,1.7933,DESeq2,DMSO vs T4400
1700019G17Rik,Group,0.4311,0.6913,1.237,0.3068,DESeq2,DMSO vs T4400
1700019G24Rik,Group,0.8639,0.9491,1.241,0.3115,DESeq2,DMSO vs T4400
1700019L03Rik,Group,0.025,0.1286,1.482,0.5675,DESeq2,DMSO vs T4400
1700019N19Rik,Group,0.4933,0.7368,0.3701,-1.434,DESeq2,DMSO vs T4400
1700020A23Rik,Group,0.6522,0.8431,1.6152,0.6917,DESeq2,DMSO vs T4400
1700020D05Rik,Group,0.1099,0.3229,2.8568,1.5144,DESeq2,DMSO vs T4400
1700020I14Rik,Group,0.4876,0.7341,0.9491,-0.0754,DESeq2,DMSO vs T4400
1700020L24Rik,Group,0.1601,0.4051,1.1865,0.2467,DESeq2,DMSO vs T4400
1700020N01Rik,Group,0.4695,0.7203,0.4754,-1.0729,DESeq2,DMSO vs T4400
1700021F05Rik,Group,0.18,0.4351,0.9185,-0.1226,DESeq2,DMSO vs T4400
1700021K19Rik,Group,0.209,0.4749,0.9587,-0.0609,DESeq2,DMSO vs T4400
1700022H01Rik,Group,0.8028,0.9231,1.2265,0.2945,DESeq2,DMSO vs T4400
1700022I11Rik,Group,0.3573,0.6305,4.5762,2.1942,DESeq2,DMSO vs T4400
1700023F06Rik,Group,0.3663,0.6373,2.2737,1.1851,DESeq2,DMSO vs T4400
1700024P16Rik,Group,0.6811,0.8552,1.0739,0.1029,DESeq2,DMSO vs T4400
1700025F24Rik,Group,0.712,0.8726,1.3092,0.3887,DESeq2,DMSO vs T4400
1700025G04Rik,Group,0.1471,0.3842,0.868,-0.2042,DESeq2,DMSO vs T4400
1700026D08Rik,Group,0.0003,0.0085,2.3738,1.2472,DESeq2,DMSO vs T4400
1700026J14Rik,Group,0.7562,0.8945,0.6977,-0.5193,DESeq2,DMSO vs T4400
1700026L06Rik,Group,0.4366,0.6949,1.4586,0.5445,DESeq2,DMSO vs T4400
1700027A15Rik,Group,0.6653,0.8488,2.0923,1.0651,DESeq2,DMSO vs T4400
1700028E10Rik,Group,0.9041,0.962,1.0706,0.0984,DESeq2,DMSO vs T4400
1700028I16Rik,Group,0.3977,0.6658,0.6826,-0.5508,DESeq2,DMSO vs T4400
1700028J19Rik,Group,0.9813,0.9909,1.0052,0.0074,DESeq2,DMSO vs T4400
1700028K03Rik,Group,0.0509,0.2029,2.0671,1.0476,DESeq2,DMSO vs T4400
1700029I15Rik,Group,0.8622,0.9486,0.9485,-0.0762,DESeq2,DMSO vs T4400
1700029J03Rik,Group,0.0396,0.1731,0.5225,-0.9364,DESeq2,DMSO vs T4400
1700029J07Rik,Group,0.4564,0.7109,1.1719,0.2289,DESeq2,DMSO vs T4400
1700030F04Rik,Group,0.5686,0.7877,0.625,-0.6781,DESeq2,DMSO vs T4400
1700030F18Rik,Group,0.6212,0.8231,1.332,0.4136,DESeq2,DMSO vs T4400
1700030J22Rik,Group,0.513,0.751,1.0752,0.1046,DESeq2,DMSO vs T4400
1700030K09Rik,Group,0.8595,0.9476,1.0118,0.0169,DESeq2,DMSO vs T4400
1700030L20Rik,Group,0.8567,0.9473,1.3925,0.4777,DESeq2,DMSO vs T4400
1700031A10Rik,Group,0.9734,0.9871,0.9889,-0.0161,DESeq2,DMSO vs T4400
1700034E13Rik,Group,0.1688,0.4181,2.1355,1.0946,DESeq2,DMSO vs T4400
1700034H15Rik,Group,0.3215,0.6005,2.7057,1.436,DESeq2,DMSO vs T4400
1700034P13Rik,Group,0.5575,0.7806,0.7129,-0.4882,DESeq2,DMSO vs T4400
1700037C18Rik,Group,0.1213,0.3426,0.823,-0.2811,DESeq2,DMSO vs T4400
1700037H04Rik,Group,0.1173,0.3361,1.1108,0.1515,DESeq2,DMSO vs T4400
1700042O10Rik,Group,0.4896,0.7348,0.6724,-0.5727,DESeq2,DMSO vs T4400
1700048M11Rik,Group,0.7598,0.897,0.9152,-0.1279,DESeq2,DMSO vs T4400
1700048O20Rik,Group,0.8737,0.9514,1.2033,0.267,DESeq2,DMSO vs T4400
1700049G17Rik,Group,0.1874,0.4453,1.1163,0.1587,DESeq2,DMSO vs T4400
1700052K11Rik,Group,0.4487,0.7043,0.9425,-0.0854,DESeq2,DMSO vs T4400
1700056E22Rik,Group,0.3781,0.6482,1.2512,0.3233,DESeq2,DMSO vs T4400
1700057G04Rik,Group,0.5609,0.7822,0.374,-1.4187,DESeq2,DMSO vs T4400
1700061G19Rik,Group,0.782,0.9107,0.9143,-0.1293,DESeq2,DMSO vs T4400
1700061I17Rik,Group,0.8896,0.9571,1.1494,0.2009,DESeq2,DMSO vs T4400
1700063D05Rik,Group,0.7212,0.8759,0.6252,-0.6777,DESeq2,DMSO vs T4400
1700065J18Rik,Group,0.4316,0.6913,0.7923,-0.3359,DESeq2,DMSO vs T4400
1700066B19Rik,Group,0.3841,0.6535,0.4674,-1.0971,DESeq2,DMSO vs T4400
1700066M21Rik,Group,0.8944,0.9584,0.9876,-0.0179,DESeq2,DMSO vs T4400
1700067K01Rik,Group,0.8253,0.935,1.0798,0.1107,DESeq2,DMSO vs T4400
1700071M16Rik,Group,0.9324,0.9722,0.9168,-0.1253,DESeq2,DMSO vs T4400
1700073E17Rik,Group,0.2301,0.5018,0.2066,-2.2753,DESeq2,DMSO vs T4400
1700084E18Rik,Group,0.4866,0.7335,1.5731,0.6536,DESeq2,DMSO vs T4400
1700086L19Rik,Group,0.9123,0.9667,1.1062,0.1456,DESeq2,DMSO vs T4400
1700086O06Rik,Group,0.8416,0.9435,1.06,0.0841,DESeq2,DMSO vs T4400
1700088E04Rik,Group,0.564,0.7849,1.1101,0.1507,DESeq2,DMSO vs T4400
1700092C10Rik,Group,0.9356,0.9732,0.9239,-0.1142,DESeq2,DMSO vs T4400
1700092M07Rik,Group,0.1344,0.3649,0.3753,-1.4139,DESeq2,DMSO vs T4400
1700093K21Rik,Group,0.5951,0.8078,1.0987,0.1358,DESeq2,DMSO vs T4400
1700094D03Rik,Group,0.0146,0.0907,1.3368,0.4188,DESeq2,DMSO vs T4400
1700096K18Rik,Group,0.0054,0.0476,1.6811,0.7494,DESeq2,DMSO vs T4400
1700101E01Rik,Group,0.6407,0.8371,1.4342,0.5203,DESeq2,DMSO vs T4400
1700101I11Rik,Group,0.7427,0.8882,0.8992,-0.1533,DESeq2,DMSO vs T4400
1700102H20Rik,Group,0.4577,0.7122,0.6416,-0.6402,DESeq2,DMSO vs T4400
1700102P08Rik,Group,0.0416,0.178,0.5996,-0.7378,DESeq2,DMSO vs T4400
1700105P06Rik,Group,0.7749,0.9064,0.7705,-0.3761,DESeq2,DMSO vs T4400
1700108F19Rik,Group,0.6925,0.8604,1.1637,0.2187,DESeq2,DMSO vs T4400
1700109G14Rik,Group,0.9316,0.9722,0.861,-0.2159,DESeq2,DMSO vs T4400
1700109H08Rik,Group,0.9286,0.9712,1.0266,0.0379,DESeq2,DMSO vs T4400
1700109K24Rik,Group,0.525,0.7585,0.9038,-0.1459,DESeq2,DMSO vs T4400
1700110C19Rik,Group,0.7618,0.8981,1.3886,0.4736,DESeq2,DMSO vs T4400
1700112E06Rik,Group,0.9914,0.9958,0.9983,-0.0025,DESeq2,DMSO vs T4400
1700112H15Rik,Group,0.6436,0.8391,0.7895,-0.3411,DESeq2,DMSO vs T4400
1700112J16Rik,Group,0.5026,0.7439,1.6809,0.7492,DESeq2,DMSO vs T4400
1700113A16Rik,Group,0.5669,0.7869,0.9575,-0.0627,DESeq2,DMSO vs T4400
1700116B05Rik,Group,0.9143,0.9675,1.1148,0.1567,DESeq2,DMSO vs T4400
1700119H24Rik,Group,0.7892,0.9148,1.2739,0.3492,DESeq2,DMSO vs T4400
1700120C14Rik,Group,0.8556,0.9473,0.9135,-0.1305,DESeq2,DMSO vs T4400
1700120K04Rik,Group,0.2451,0.5209,0.735,-0.4442,DESeq2,DMSO vs T4400
1700123K08Rik,Group,0.3307,0.6085,0.1944,-2.3628,DESeq2,DMSO vs T4400
1700123M08Rik,Group,0.845,0.9449,0.9669,-0.0485,DESeq2,DMSO vs T4400
1700123O20Rik,Group,0.602,0.8121,0.9633,-0.0539,DESeq2,DMSO vs T4400
1700124L16Rik,Group,0.5282,0.7606,1.5911,0.67,DESeq2,DMSO vs T4400
1700125H03Rik,Group,0.3253,0.6042,1.6634,0.7341,DESeq2,DMSO vs T4400
1700125H20Rik,Group,0.4006,0.6683,0.2267,-2.1411,DESeq2,DMSO vs T4400
1700128A07Rik,Group,0.6621,0.8468,0.5403,-0.8883,DESeq2,DMSO vs T4400
1810008I18Rik,Group,0.7555,0.8945,1.3959,0.4812,DESeq2,DMSO vs T4400
1810009A15Rik,Group,0.6656,0.8489,2.0923,1.0651,DESeq2,DMSO vs T4400
1810010H24Rik,Group,0.4686,0.7194,1.145,0.1953,DESeq2,DMSO vs T4400
1810011O10Rik,Group,0.4213,0.6843,1.0857,0.1187,DESeq2,DMSO vs T4400
1810012K16Rik,Group,0.4489,0.7043,0.4706,-1.0874,DESeq2,DMSO vs T4400
1810013L24Rik,Group,0.9555,0.98,1.0028,0.004,DESeq2,DMSO vs T4400
1810014B01Rik,Group,0.9376,0.9736,1.0084,0.012,DESeq2,DMSO vs T4400
1810019D21Rik,Group,0.8643,0.9492,0.872,-0.1977,DESeq2,DMSO vs T4400
1810020O05Rik,Group,0.6192,0.8215,0.6816,-0.553,DESeq2,DMSO vs T4400
1810021B22Rik,Group,0.5933,0.8065,1.0858,0.1188,DESeq2,DMSO vs T4400
1810022K09Rik,Group,0.6381,0.8354,1.0283,0.0402,DESeq2,DMSO vs T4400
1810024B03Rik,Group,0.4954,0.7383,1.2417,0.3123,DESeq2,DMSO vs T4400
1810026B05Rik,Group,0.4726,0.7226,1.0515,0.0724,DESeq2,DMSO vs T4400
1810026J23Rik,Group,0.4153,0.6791,0.9541,-0.0677,DESeq2,DMSO vs T4400
1810030O07Rik,Group,0.0263,0.1333,1.104,0.1427,DESeq2,DMSO vs T4400
1810032O08Rik,Group,0.8208,0.9323,1.0214,0.0306,DESeq2,DMSO vs T4400
1810034E14Rik,Group,0.0013,0.0205,1.4248,0.5108,DESeq2,DMSO vs T4400
1810037I17Rik,Group,0.7741,0.9058,0.9878,-0.0177,DESeq2,DMSO vs T4400
1810041H14Rik,Group,0.9289,0.9713,0.856,-0.2243,DESeq2,DMSO vs T4400
1810041L15Rik,Group,0.0064,0.0532,0.5334,-0.9068,DESeq2,DMSO vs T4400
1810043G02Rik,Group,0.6735,0.852,1.0238,0.034,DESeq2,DMSO vs T4400
1810043H04Rik,Group,0.8522,0.9473,1.015,0.0215,DESeq2,DMSO vs T4400
1810044D09Rik,Group,0.3714,0.6419,0.79,-0.3401,DESeq2,DMSO vs T4400
1810046K07Rik,Group,0.8647,0.9493,0.8403,-0.251,DESeq2,DMSO vs T4400
1810053B23Rik,Group,0.4356,0.6943,0.5672,-0.8182,DESeq2,DMSO vs T4400
1810055G02Rik,Group,0.0355,0.1619,0.8918,-0.1652,DESeq2,DMSO vs T4400
1810058I24Rik,Group,0.028,0.1386,1.1915,0.2527,DESeq2,DMSO vs T4400
1810062G17Rik,Group,0.4137,0.6778,0.8285,-0.2714,DESeq2,DMSO vs T4400
1810062O18Rik,Group,0.6838,0.8559,1.1956,0.2577,DESeq2,DMSO vs T4400
1810065E05Rik,Group,0.1935,0.4536,6.8913,2.7848,DESeq2,DMSO vs T4400
2010001A14Rik,Group,0.1064,0.3168,1.256,0.3289,DESeq2,DMSO vs T4400
2010001E11Rik,Group,0.8565,0.9473,1.3925,0.4777,DESeq2,DMSO vs T4400
2010003K11Rik,Group,0.5661,0.7862,0.6232,-0.6823,DESeq2,DMSO vs T4400
2010005H15Rik,Group,0.2977,0.5759,2.0316,1.0226,DESeq2,DMSO vs T4400
2010009K17Rik,Group,0.8697,0.9506,1.2103,0.2754,DESeq2,DMSO vs T4400
2010010A06Rik,Group,0.4404,0.6973,0.2877,-1.7976,DESeq2,DMSO vs T4400
2010012O05Rik,Group,0.1677,0.4167,1.0709,0.0989,DESeq2,DMSO vs T4400
2010107E04Rik,Group,0.0087,0.0644,0.867,-0.2059,DESeq2,DMSO vs T4400
2010107G12Rik,Group,0.0904,0.2874,2.1722,1.1192,DESeq2,DMSO vs T4400
2010107G23Rik,Group,0.0193,0.109,1.3014,0.38,DESeq2,DMSO vs T4400
2010111I01Rik,Group,0.7772,0.9074,1.0226,0.0323,DESeq2,DMSO vs T4400
2010204K13Rik,Group,0.3035,0.5827,0.8531,-0.2292,DESeq2,DMSO vs T4400
2010308F09Rik,Group,0.919,0.9679,0.8583,-0.2205,DESeq2,DMSO vs T4400
2010310C07Rik,Group,0.8774,0.9526,0.8688,-0.203,DESeq2,DMSO vs T4400
2010315B03Rik,Group,0.1432,0.3784,1.2325,0.3016,DESeq2,DMSO vs T4400
2010320M18Rik,Group,0.0552,0.2127,1.2345,0.3039,DESeq2,DMSO vs T4400
2200002D01Rik,Group,0.1453,0.3816,0.8524,-0.2304,DESeq2,DMSO vs T4400
2210010C04Rik,Group,0.0489,0.1981,1.6262,0.7015,DESeq2,DMSO vs T4400
2210011C24Rik,Group,0.6064,0.8142,0.9247,-0.113,DESeq2,DMSO vs T4400
2210013O21Rik,Group,0.0146,0.091,0.8463,-0.2408,DESeq2,DMSO vs T4400
2210015D19Rik,Group,0.3625,0.6339,0.9352,-0.0966,DESeq2,DMSO vs T4400
2210016F16Rik,Group,0.4449,0.7014,0.927,-0.1094,DESeq2,DMSO vs T4400
2210016L21Rik,Group,0.9322,0.9722,1.0052,0.0074,DESeq2,DMSO vs T4400
2210018M11Rik,Group,0.5243,0.7583,1.0735,0.1024,DESeq2,DMSO vs T4400
2210039B01Rik,Group,0.8567,0.9473,1.3925,0.4777,DESeq2,DMSO vs T4400
2210404O09Rik,Group,0.0073,0.0579,1.5552,0.6371,DESeq2,DMSO vs T4400
2210406O10Rik,Group,0.4532,0.7079,0.7351,-0.444,DESeq2,DMSO vs T4400
2210408F21Rik,Group,0.0233,0.1227,1.4377,0.5238,DESeq2,DMSO vs T4400
2210408I21Rik,Group,0.926,0.9702,0.9908,-0.0133,DESeq2,DMSO vs T4400
2210409D07Rik,Group,0.4757,0.7246,0.739,-0.4363,DESeq2,DMSO vs T4400
2210409E12Rik,Group,0.8585,0.9473,1.3867,0.4716,DESeq2,DMSO vs T4400
2210416O15Rik,Group,0.4272,0.6886,0.7844,-0.3504,DESeq2,DMSO vs T4400
2300005B03Rik,Group,0.8581,0.9473,1.3879,0.4729,DESeq2,DMSO vs T4400
2300009A05Rik,Group,0.2862,0.5641,1.1375,0.1859,DESeq2,DMSO vs T4400
2310001H17Rik,Group,0.7601,0.8972,1.0424,0.0599,DESeq2,DMSO vs T4400
2310002F09Rik,Group,0.0355,0.1619,2.0579,1.0412,DESeq2,DMSO vs T4400
2310002L09Rik,Group,0.987,0.9942,0.9953,-0.0068,DESeq2,DMSO vs T4400
2310007B03Rik,Group,0.3141,0.5923,0.5355,-0.9009,DESeq2,DMSO vs T4400
2310008N11Rik,Group,0.2281,0.4992,0.3302,-1.5987,DESeq2,DMSO vs T4400
2310009A05Rik,Group,0.1654,0.4133,1.1295,0.1757,DESeq2,DMSO vs T4400
2310009B15Rik,Group,0.2716,0.5498,0.9264,-0.1103,DESeq2,DMSO vs T4400
2310010G23Rik,Group,0.2195,0.4882,0.8051,-0.3128,DESeq2,DMSO vs T4400
2310010J17Rik,Group,0.7337,0.8823,1.0716,0.0998,DESeq2,DMSO vs T4400
2310011J03Rik,Group,0.7405,0.8868,0.9818,-0.0265,DESeq2,DMSO vs T4400
2310015A10Rik,Group,0.7772,0.9074,0.9726,-0.0401,DESeq2,DMSO vs T4400
2310020H05Rik,Group,0.8603,0.9477,0.9527,-0.0699,DESeq2,DMSO vs T4400
2310022A10Rik,Group,0.0126,0.0825,0.8736,-0.195,DESeq2,DMSO vs T4400
2310022B05Rik,Group,0.3379,0.6141,0.9479,-0.0772,DESeq2,DMSO vs T4400
2310030G06Rik,Group,0.9703,0.9852,0.9964,-0.0052,DESeq2,DMSO vs T4400
2310033P09Rik,Group,0.0003,0.0081,0.7685,-0.3799,DESeq2,DMSO vs T4400
2310034G01Rik,Group,0.4898,0.7349,1.2795,0.3556,DESeq2,DMSO vs T4400
2310034O05Rik,Group,0.1213,0.3426,5.5454,2.4713,DESeq2,DMSO vs T4400
2310035C23Rik,Group,0.0621,0.2293,1.0945,0.1302,DESeq2,DMSO vs T4400
2310036O22Rik,Group,0.3717,0.6422,0.9518,-0.0713,DESeq2,DMSO vs T4400
2310039H08Rik,Group,0.1589,0.4033,1.1613,0.2157,DESeq2,DMSO vs T4400
2310039L15Rik,Group,0.4871,0.7337,0.7529,-0.4094,DESeq2,DMSO vs T4400
