feature,Estimate_group,pvalue,fdr,fold_change,log2FC,method,vs
Arrdc4,Group,0.1,0.3062,1.3552,0.4385,DESeq2,DMSO vs T4400
Arsa,Group,0.0048,0.044,1.2566,0.3295,DESeq2,DMSO vs T4400
Arsb,Group,0.0516,0.2043,0.8802,-0.1841,DESeq2,DMSO vs T4400
Arsg,Group,0.1657,0.4139,1.2317,0.3007,DESeq2,DMSO vs T4400
Arsi,Group,0.0461,0.1906,0.5964,-0.7457,DESeq2,DMSO vs T4400
Arsj,Group,0.0275,0.1372,0.7936,-0.3334,DESeq2,DMSO vs T4400
Arsk,Group,0.014,0.0884,1.1536,0.2061,DESeq2,DMSO vs T4400
Art1,Group,0.0967,0.3,0.7684,-0.38,DESeq2,DMSO vs T4400
Art2a-ps,Group,0.6154,0.8195,2.0859,1.0607,DESeq2,DMSO vs T4400
Art3,Group,0.0126,0.0825,0.6331,-0.6595,DESeq2,DMSO vs T4400
Art5,Group,0.1799,0.435,0.8286,-0.2712,DESeq2,DMSO vs T4400
Artn,Group,0.1304,0.3579,1.2181,0.2847,DESeq2,DMSO vs T4400
Arv1,Group,0.8276,0.9359,0.9787,-0.0311,DESeq2,DMSO vs T4400
Arvcf,Group,0.088,0.2827,1.1383,0.1869,DESeq2,DMSO vs T4400
Arx,Group,0.0418,0.1785,0.5979,-0.7421,DESeq2,DMSO vs T4400
Arxes1,Group,0.9441,0.9762,1.0393,0.0555,DESeq2,DMSO vs T4400
Arxes2,Group,0.0699,0.2464,0.8321,-0.2651,DESeq2,DMSO vs T4400
As3mt,Group,0.3742,0.6448,1.0655,0.0915,DESeq2,DMSO vs T4400
Asah1,Group,3.8982e-06,0.0008,1.3476,0.4304,DESeq2,DMSO vs T4400
Asah2,Group,0.2095,0.4753,1.1276,0.1733,DESeq2,DMSO vs T4400
Asap1,Group,0.2499,0.526,1.0836,0.1159,DESeq2,DMSO vs T4400
