"PCo1","PCo2","sample","Group"
-0.347959861684419,0.0547890072408292,"J_XYL_F_0001_01","IBS_before"
-0.306707875864973,0.0526033174719074,"J_XYL_F_0001_02","IBS_after"
0.120406368176194,0.0573325863474928,"J_XYL_F_0002_01","IBS_before"
0.162252331053499,-0.0305600981246044,"J_XYL_F_0002_02","IBS_after"
0.0941439498231066,-0.0115998006276109,"J_XYL_F_0003_01","IBS_before"
0.023988434839315,-0.471376480065508,"J_XYL_F_0003_02","IBS_after"
0.191691126451197,0.0683632693502554,"J_XYL_F_0004_01","IBS_before"
0.0685749209590894,-0.108855339863174,"J_XYL_F_0004_02","IBS_after"
0.0808690392852342,-0.114088748941211,"J_XYL_F_0005_01","IBS_before"
-0.056924519296008,0.0280775705938469,"J_XYL_F_0005_02","IBS_after"
0.118383544913992,0.163271290114005,"J_XYL_F_0006_01","IBS_before"
-0.0296693740358928,0.044731848240029,"J_XYL_F_0006_02","IBS_after"
0.0361242623061313,0.0933602153114174,"J_XYL_F_0010_01","IBS_before"
0.230826107386617,0.0819820906394821,"J_XYL_F_0010_02","IBS_after"
-0.0243089826906632,-0.518429132806939,"J_XYL_F_0012_01","IBS_before"
0.00556604160944486,-0.58169335584915,"J_XYL_F_0012_02","IBS_after"
0.132218490088413,0.0796575439365685,"J_XYL_F_0013_01","IBS_before"
0.17284110906736,0.148619805965505,"J_XYL_F_0013_02","IBS_after"
-0.163666199980258,-0.00896073464062883,"J_XYL_F_0015_01","IBS_before"
-0.0136220807712122,-0.222054822350509,"J_XYL_F_0015_02","IBS_after"
-0.191232714816123,-0.0650107027088781,"J_XYL_F_0016_01","IBS_before"
-0.0321312212000915,0.0740594215307289,"J_XYL_F_0016_02","IBS_after"
0.137817547657124,0.0544202256155041,"J_XYL_F_0018_01","IBS_before"
0.145284434675663,-0.0503430137825278,"J_XYL_F_0018_02","IBS_after"
0.202853553015341,0.0629422239049141,"J_XYL_F_0020_01","IBS_before"
-0.166364479047678,0.018622990761007,"J_XYL_F_0020_02","IBS_after"
-0.155798214012444,0.0338901944432633,"J_XYL_F_0025_01","IBS_before"
-0.0835023556617191,0.0367236451208251,"J_XYL_F_0025_02","IBS_after"
0.208037783128423,0.0884682445094138,"J_XYL_F_0031_01","IBS_before"
0.139405633411108,0.130662790275766,"J_XYL_F_0031_02","IBS_after"
-0.00365126865162882,-0.0666160472036358,"J_XYL_F_0032_01","IBS_before"
0.0716152593080481,0.0551167335673267,"J_XYL_F_0032_02","IBS_after"
-0.0271612900492619,0.072253109395067,"J_XYL_F_0034_01","IBS_before"
-0.329072212437294,0.00726729074837184,"J_XYL_F_0034_02","IBS_after"
-0.0244545228933463,0.00740075895381143,"J_XYL_F_0036_01","IBS_before"
-0.00971799621948674,-0.0217883075883763,"J_XYL_F_0036_02","IBS_after"
0.0858056726480553,0.0807815507759008,"J_XYL_F_0043_01","IBS_before"
-0.0342555007119344,0.0224263632871793,"J_XYL_F_0043_2","IBS_after"
0.0484585402856912,0.152783496050982,"J_XYL_F_0044_01","IBS_before"
-0.101278483508065,0.139275213933538,"J_XYL_F_0044_02","IBS_after"
-0.478605522157654,0.024183488171307,"J_XYL_F_0045_01","IBS_before"
-0.495857504801559,0.035113324096456,"J_XYL_F_0045_2","IBS_after"
0.10352162894968,0.0367725546293681,"J_XYL_F_0046_01","IBS_before"
-0.0357542796070458,0.0882124402119026,"J_XYL_F_0046_02","IBS_after"
-0.12284610409736,0.118230331453537,"J_XYL_F_0047_01","IBS_before"
-0.00823857425704325,0.0828295718196644,"J_XYL_F_0047_02","IBS_after"
-0.493420691749936,0.0370726157561279,"J_XYL_F_0048_01","IBS_before"
-0.0874050685682757,0.0361771654804811,"J_XYL_F_0049_02","IBS_after"
-0.406725098447945,0.030864448920324,"J_XYL_F_0050_01","IBS_before"
-0.607744533740241,0.0991609906778741,"J_XYL_F_0050_02","IBS_after"
-0.386645734463148,0.0510654210355355,"J_XYL_F_0051_01","IBS_before"
0.265841010497565,0.0309367317758581,"J_XYL_F_0051_02","IBS_after"
0.085897142693552,-0.139277178402909,"J_XYL_F_0053_01","IBS_before"
0.127910712132306,-0.108938473895846,"J_XYL_F_0053_02","IBS_after"
-0.289664169844454,0.0729258318159384,"J_XYL_F_0057_01","IBS_before"
-0.0586758149225557,0.0345754050774096,"J_XYL_F_0057_02","IBS_after"
